,strike,lastPrice,volume,impliedVolatility,maturity,type
61,490.0,0.79,20975.0,0.015634843750000002,2,call
62,491.0,0.51,9632.0,0.0312596875,2,call
63,492.0,0.31,8239.0,0.0312596875,2,call
64,493.0,0.18,12181.0,0.062509375,2,call
65,494.0,0.11,5003.0,0.062509375,2,call
66,495.0,0.06,7667.0,0.062509375,2,call
67,496.0,0.04,3763.0,0.062509375,2,call
68,497.0,0.03,2316.0,0.062509375,2,call
69,498.0,0.02,3058.0,0.12500875,2,call
70,499.0,0.02,4110.0,0.12500875,2,call
71,500.0,0.01,3078.0,0.12500875,2,call
72,501.0,0.01,685.0,0.12500875,2,call
73,502.0,0.01,1404.0,0.12500875,2,call
74,503.0,0.01,399.0,0.12500875,2,call
75,504.0,0.01,531.0,0.12500875,2,call
76,505.0,0.01,889.0,0.12500875,2,call
77,506.0,0.01,1556.0,0.12500875,2,call
81,510.0,0.01,609.0,0.2500075,2,call
83,512.0,0.01,331.0,0.2500075,2,call
85,514.0,0.01,960.0,0.2500075,2,call
42,490.0,1.46,12853.0,0.015634843750000002,5,call
43,491.0,1.11,3258.0,0.015634843750000002,5,call
44,492.0,0.81,1696.0,0.0312596875,5,call
45,493.0,0.6,1690.0,0.0312596875,5,call
46,494.0,0.42,1392.0,0.0312596875,5,call
47,495.0,0.29,9064.0,0.062509375,5,call
48,496.0,0.2,1151.0,0.062509375,5,call
49,497.0,0.14,1003.0,0.062509375,5,call
50,498.0,0.1,454.0,0.062509375,5,call
51,499.0,0.08,325.0,0.062509375,5,call
52,500.0,0.06,971.0,0.062509375,5,call
54,502.0,0.03,415.0,0.062509375,5,call
58,506.0,0.02,2075.0,0.12500875,5,call
66,515.0,0.02,690.0,0.12500875,5,call
45,490.0,2.12,4289.0,0.015634843750000002,6,call
46,491.0,1.67,1023.0,0.015634843750000002,6,call
47,492.0,1.37,1114.0,0.0312596875,6,call
48,493.0,1.04,720.0,0.0312596875,6,call
49,494.0,0.8,597.0,0.0312596875,6,call
50,495.0,0.6,2323.0,0.0312596875,6,call
51,496.0,0.44,525.0,0.0312596875,6,call
52,497.0,0.32,505.0,0.062509375,6,call
53,498.0,0.24,423.0,0.062509375,6,call
55,500.0,0.13,343.0,0.062509375,6,call
61,491.0,2.86,1979.0,0.015634843750000002,7,call
62,492.0,2.42,2238.0,0.015634843750000002,7,call
63,493.0,2.04,4049.0,0.0312596875,7,call
64,494.0,1.71,1759.0,0.0312596875,7,call
65,495.0,1.42,2847.0,0.0312596875,7,call
66,496.0,1.13,1198.0,0.0312596875,7,call
67,497.0,0.92,1275.0,0.0312596875,7,call
68,498.0,0.69,2524.0,0.062509375,7,call
69,499.0,0.56,946.0,0.062509375,7,call
70,500.0,0.44,6721.0,0.062509375,7,call
71,501.0,0.35,3170.0,0.062509375,7,call
72,502.0,0.26,1064.0,0.062509375,7,call
73,503.0,0.2,883.0,0.062509375,7,call
74,504.0,0.19,835.0,0.062509375,7,call
75,505.0,0.13,1550.0,0.062509375,7,call
76,506.0,0.11,319.0,0.062509375,7,call
77,507.0,0.09,506.0,0.062509375,7,call
80,510.0,0.04,273.0,0.12500875,7,call
87,525.0,0.02,266.0,0.12500875,7,call
36,491.0,3.33,501.0,0.015634843750000002,8,call
37,492.0,2.88,381.0,0.015634843750000002,8,call
38,493.0,2.42,291.0,0.015634843750000002,8,call
39,494.0,2.13,366.0,0.015634843750000002,8,call
40,495.0,1.76,838.0,0.0312596875,8,call
41,496.0,1.71,287.0,0.0312596875,8,call
42,497.0,1.24,397.0,0.0312596875,8,call
44,499.0,0.83,1174.0,0.0312596875,8,call
45,500.0,0.69,851.0,0.0312596875,8,call
46,505.0,0.28,264.0,0.062509375,8,call
43,505.0,0.35,991.0,0.062509375,9,call
27,495.0,2.43,547.0,0.015634843750000002,16,call
28,496.0,2.08,323.0,0.0312596875,16,call
33,505.0,0.45,1028.0,0.062509375,16,call
22,495.0,2.9,272.0,0.015634843750000002,23,call
31,520.0,0.08,302.0,0.062509375,23,call
66,492.0,4.77,279.0,0.015634843750000002,30,call
68,493.0,4.26,263.0,0.015634843750000002,30,call
70,495.0,3.28,6733.0,0.015634843750000002,30,call
76,500.0,1.78,1502.0,0.0312596875,30,call
77,502.5,1.36,567.0,0.0312596875,30,call
78,505.0,0.86,1496.0,0.0312596875,30,call
79,510.0,0.4,632.0,0.062509375,30,call
81,493.0,5.92,693.0,0.015634843750000002,37,call
82,494.0,5.2,1319.0,0.015634843750000002,37,call
83,495.0,4.76,2452.0,0.015634843750000002,37,call
84,496.0,4.33,726.0,0.015634843750000002,37,call
85,500.0,3.01,8570.0,0.0312596875,37,call
86,505.0,1.73,1977.0,0.0312596875,37,call
87,510.0,0.98,4857.0,0.0312596875,37,call
