,strike,lastPrice,volume,impliedVolatility,maturity,type
30,227.5,1.79,40776.0,0.015634843750000002,23,call
31,230.0,0.89,63144.0,0.0312596875,23,call
32,232.5,0.4,29833.0,0.062509375,23,call
33,235.0,0.17,35363.0,0.062509375,23,call
34,237.5,0.08,7789.0,0.12500875,23,call
35,240.0,0.07,18132.0,0.12500875,23,call
36,242.5,0.02,5459.0,0.12500875,23,call
37,245.0,0.01,5708.0,0.12500875,23,call
38,247.5,0.01,1769.0,0.2500075,23,call
39,250.0,0.01,3737.0,0.2500075,23,call
43,270.0,0.01,402.0,0.2500075,23,call
28,230.0,1.96,14387.0,0.0312596875,30,call
29,232.5,1.18,4365.0,0.0312596875,30,call
30,235.0,0.68,5905.0,0.062509375,30,call
31,237.5,0.39,2604.0,0.062509375,30,call
32,240.0,0.22,4366.0,0.062509375,30,call
33,242.5,0.14,1111.0,0.062509375,30,call
34,245.0,0.09,627.0,0.12500875,30,call
36,250.0,0.06,1107.0,0.12500875,30,call
38,260.0,0.02,507.0,0.12500875,30,call
19,230.0,2.9,4480.0,0.015634843750000002,37,call
20,235.0,1.28,3954.0,0.0312596875,37,call
21,240.0,0.51,726.0,0.062509375,37,call
22,245.0,0.21,2451.0,0.062509375,37,call
23,250.0,0.09,562.0,0.12500875,37,call
26,265.0,0.02,481.0,0.12500875,37,call
40,230.0,3.62,6038.0,0.015634843750000002,51,call
41,235.0,1.93,37181.0,0.0312596875,51,call
42,240.0,0.9,13569.0,0.062509375,51,call
43,245.0,0.42,1099.0,0.062509375,51,call
44,250.0,0.2,3031.0,0.062509375,51,call
45,255.0,0.11,549.0,0.12500875,51,call
61,370.0,0.01,1020.0,0.500005,51,call
18,230.0,4.25,855.0,0.015634843750000002,86,call
19,235.0,2.42,1044.0,0.0312596875,86,call
20,240.0,1.32,1255.0,0.0312596875,86,call
21,245.0,0.65,740.0,0.062509375,86,call
22,250.0,0.34,625.0,0.062509375,86,call
24,260.0,0.11,688.0,0.12500875,86,call
20,245.0,1.55,972.0,0.062509375,114,call
37,235.0,5.29,1932.0,0.0312596875,149,call
38,240.0,3.58,13489.0,0.0312596875,149,call
39,245.0,2.36,2007.0,0.062509375,149,call
40,250.0,1.52,1368.0,0.062509375,149,call
41,255.0,0.97,4590.0,0.062509375,149,call
42,260.0,0.62,5001.0,0.062509375,149,call
50,300.0,0.03,580.0,0.12500875,149,call
39,235.0,7.38,661.0,0.015634843750000002,177,call
40,240.0,5.45,850.0,0.0312596875,177,call
41,245.0,4.0,497.0,0.0312596875,177,call
42,250.0,2.8,2057.0,0.0312596875,177,call
44,260.0,1.35,464.0,0.062509375,177,call
46,270.0,0.64,1000.0,0.062509375,177,call
47,240.0,6.9,427.0,0.0312596875,204,call
49,250.0,3.9,1398.0,0.0312596875,204,call
50,255.0,2.87,1616.0,0.062509375,204,call
51,260.0,2.02,1672.0,0.062509375,204,call
59,300.0,0.2,1386.0,0.12500875,204,call
47,300.0,0.7,866.0,0.062509375,324,call
49,320.0,0.3,404.0,0.12500875,324,call
47,300.0,2.0,1728.0,0.062509375,450,call
7,145.0,0.01,2850.0,0.500005,23,put
9,155.0,0.01,1009.0,0.500005,23,put
12,170.0,0.02,613.0,0.500005,23,put
15,185.0,0.01,2017.0,0.500005,23,put
16,190.0,0.02,409.0,0.2500075,23,put
17,195.0,0.02,466.0,0.2500075,23,put
18,197.5,0.02,485.0,0.2500075,23,put
19,200.0,0.03,2171.0,0.2500075,23,put
20,202.5,0.04,2201.0,0.2500075,23,put
21,205.0,0.05,2740.0,0.2500075,23,put
22,207.5,0.06,891.0,0.2500075,23,put
23,210.0,0.07,6508.0,0.12500875,23,put
24,212.5,0.1,4319.0,0.12500875,23,put
25,215.0,0.15,10239.0,0.12500875,23,put
26,217.5,0.23,7893.0,0.12500875,23,put
27,220.0,0.44,30993.0,0.062509375,23,put
28,222.5,0.84,20540.0,0.0312596875,23,put
29,225.0,1.51,57138.0,0.015634843750000002,23,put
19,200.0,0.13,1504.0,0.12500875,30,put
22,207.5,0.2,1379.0,0.12500875,30,put
23,210.0,0.27,1266.0,0.12500875,30,put
24,212.5,0.39,574.0,0.062509375,30,put
25,215.0,0.5,1948.0,0.062509375,30,put
26,217.5,0.74,1014.0,0.062509375,30,put
27,220.0,1.12,4402.0,0.0312596875,30,put
28,222.5,1.75,4182.0,0.0312596875,30,put
2,135.0,0.01,1250.0,0.500005,37,put
3,140.0,0.02,1250.0,0.500005,37,put
15,200.0,0.21,424.0,0.12500875,37,put
16,205.0,0.33,619.0,0.12500875,37,put
17,210.0,0.54,685.0,0.062509375,37,put
18,215.0,1.01,918.0,0.062509375,37,put
19,220.0,1.8,831.0,0.0312596875,37,put
15,100.0,0.01,721.0,0.500005,51,put
16,105.0,0.01,465.0,0.500005,51,put
17,110.0,0.01,4900.0,0.500005,51,put
23,140.0,0.02,3327.0,0.500005,51,put
31,180.0,0.12,781.0,0.2500075,51,put
34,195.0,0.25,1275.0,0.12500875,51,put
35,200.0,0.34,2091.0,0.12500875,51,put
36,205.0,0.51,1713.0,0.062509375,51,put
37,210.0,0.79,5074.0,0.062509375,51,put
38,215.0,1.35,4713.0,0.062509375,51,put
39,220.0,2.3,13736.0,0.0312596875,51,put
17,205.0,0.71,648.0,0.062509375,86,put
18,210.0,1.16,419.0,0.062509375,86,put
19,215.0,1.73,631.0,0.0312596875,86,put
